2015-12-20,Eagles,Cardinals,4,14:43,1,15,PHI 22,16-37,78,0.41,7,6.59
2016-11-06,Broncos,Raiders,4,5:34,1,15,DEN 31,19-30,69,1,7,6.00
2016-10-09,Chargers,Raiders,2,7:13,1,15,SDG 20,7-6,54,0.28,3.84,3.56
2015-12-13,Bears,Redskins,4,2:11,1,15,CHI 15,21-24,50,-0.31,3.25,3.56
2016-11-06,Giants,Eagles,2,10:55,1,15,NYG 45,14-10,46,1.93,5.14,3.21
2014-11-09,Steelers,Jets,3,4:34,1,15,PIT 15,3-20,45,-0.31,2.92,3.23
2016-09-11,Browns,Eagles,2,10:52,1,15,CLE 47,0-10,44,2.06,5.14,3.08
2016-11-13,Buccaneers,Bears,3,13:15,1,15,CHI 43,23-10,43,2.72,7,4.28
2014-12-07,Rams,Redskins,2,3:20,1,15,RAM 21,6-0,41,0.34,3.05,2.71
2015-11-29,Dolphins,Jets,3,3:47,1,15,NYJ 45,0-21,40,2.59,6.06,3.47
2015-12-27,Ravens,Steelers,4,11:25,1,15,PIT 37,13-10,34,3.12,6.51,3.39
2015-10-25,Buccaneers,Redskins,1,8:02,1,15,TAM 34,7-0,29,1.2,3.12,1.92
2015-12-26,Redskins,Eagles,1,7:51,1,15,WAS 39,0-7,28,1.53,3.38,1.85
2016-01-03,Texans,Jaguars,4,13:33,1,15,HTX 27,20-6,27,0.74,2.52,1.78
2016-09-25,Bengals,Broncos,4,2:19,1,15,CIN 48,17-29,27,2.13,3.91,1.78
2014-11-30,Rams,Raiders,1,5:34,1,15,RAM 34,14-0,26,1.2,2.92,1.72
2015-12-03,Packers,Lions,4,4:37,1,15,GNB 47,14-23,26,2.06,3.78,1.72
2016-10-09,Rams,Bills,4,10:27,1,15,RAM 39,16-23,26,1.53,3.25,1.72
2015-09-17,Chiefs,Broncos,1,10:50,1,15,KAN 29,0-0,24,0.87,3.45,2.58
2016-12-18,Raiders,Chargers,3,13:09,1,15,SDG 46,10-10,23,2.52,4.04,1.52
2016-12-18,Bears,Packers,4,14:54,1,15,CHI 42,10-27,23,1.73,3.25,1.52
2014-12-21,Lions,Bears,2,12:03,1,15,DET 23,7-0,22,0.48,1.93,1.45
2014-10-19,Redskins,Titans,2,10:51,1,15,OTI 47,3-3,22,2.46,3.91,1.45
2014-12-14,Dolphins,Patriots,1,5:46,1,15,MIA 29,0-7,22,0.87,2.32,1.45
2015-10-11,Browns,Ravens,4,5:32,1,15,CLE 15,22-27,22,-0.31,1.4,1.71
2014-10-05,Browns,Titans,4,10:56,1,15,CLE 28,15-28,21,0.81,2.19,1.38
2014-10-12,Bears,Falcons,1,15:00,1,15,CHI 15,0-0,20,-0.31,1.27,1.58
2014-10-12,Patriots,Bills,4,5:13,1,15,NWE 15,30-22,20,-0.31,1.27,1.58
2015-12-17,Buccaneers,Rams,3,12:53,1,15,TAM 43,3-21,20,1.8,3.12,1.32
2016-11-07,Seahawks,Bills,2,2:00,1,15,SEA 42,21-17,20,1.73,3.05,1.32
2014-10-19,Cardinals,Raiders,2,11:08,1,15,CRD 23,7-0,19,0.48,1.73,1.25
2014-12-14,Packers,Bills,2,8:04,1,15,GNB 35,10-10,19,1.27,2.52,1.25
2014-09-07,Cowboys,49ers,1,14:54,1,15,DAL 15,0-0,18,-0.31,1.14,1.45
2014-10-12,Ravens,Buccaneers,1,15:00,1,15,RAV 15,0-0,18,-0.31,1.14,1.45
2014-10-05,Lions,Bills,3,6:43,1,15,BUF 47,14-3,18,2.46,3.64,1.18
2015-11-01,Broncos,Packers,2,11:58,1,15,DEN 17,14-0,18,-0.12,1.27,1.39
2016-09-18,Saints,Giants,4,4:24,1,15,NYG 47,10-13,18,2.46,3.64,1.18
2014-12-07,Jets,Vikings,2,11:49,1,15,NYJ 31,12-21,17,1,2.13,1.13
2014-12-14,Redskins,Giants,1,8:34,1,15,NYG 38,0-0,17,3.05,4.17,1.12
2015-09-14,Vikings,49ers,2,12:53,1,15,MIN 37,0-0,17,1.4,2.52,1.12
2016-11-13,Packers,Titans,4,13:34,1,15,GNB 41,25-41,17,1.66,2.79,1.13
2014-10-16,Patriots,Jets,2,7:52,1,15,NWE 15,7-9,16,-0.31,1,1.31
2014-12-22,Bengals,Broncos,3,7:38,1,15,CIN 39,27-21,16,1.53,2.59,1.06
2015-11-22,Lions,Raiders,1,13:03,1,15,DET 47,0-0,16,2.06,3.12,1.06
2015-11-22,Packers,Vikings,3,2:32,1,15,GNB 15,19-13,16,-0.31,1,1.31
2015-10-11,Cowboys,Patriots,3,7:04,1,15,DAL 37,3-20,16,1.4,2.46,1.06
2016-11-13,Redskins,Vikings,3,14:53,1,15,WAS 28,14-20,16,0.81,1.86,1.05
2014-09-21,Patriots,Raiders,3,9:39,1,15,NWE 15,10-6,15,-0.31,0.94,1.25
2015-11-15,Saints,Redskins,2,9:52,1,15,NOR 15,14-21,15,-0.31,0.94,1.25
2015-10-04,Jets,Dolphins,3,7:24,1,15,NYJ 40,27-7,15,1.6,2.59,.99
2014-12-28,Raiders,Broncos,3,14:08,1,15,RAI 15,7-27,14,-0.31,0.95,1.26
2014-09-14,Bears,49ers,3,3:27,1,15,CHI 29,7-20,14,0.87,1.87,1.00
2016-01-03,Panthers,Buccaneers,4,13:03,1,15,CAR 38,31-10,14,1.47,2.47,1.00
2016-11-13,Eagles,Falcons,1,9:06,1,15,PHI 30,0-0,14,0.94,1.94,1.00
2016-09-25,Colts,Chargers,2,10:05,1,15,SDG 40,10-6,14,2.92,3.92,1.00
2015-11-01,Jets,Raiders,2,2:13,1,15,NYJ 37,3-21,13,1.4,2.27,.87
2015-11-01,Titans,Texans,4,7:18,1,15,OTI 20,6-20,13,0.28,1.14,.86
2016-09-11,Raiders,Saints,3,7:52,1,15,RAI 20,10-24,13,0.28,1.14,.86
2014-09-21,Ravens,Browns,3,8:10,1,15,CLE 36,10-14,12,3.18,3.91,.73
2014-09-28,Vikings,Falcons,3,14:53,1,15,MIN 29,24-14,12,0.87,1.6,.73
2015-11-29,Bills,Chiefs,1,4:08,1,15,BUF 44,3-0,12,1.86,2.59,.73
2015-12-27,Giants,Vikings,4,7:30,1,15,MIN 48,10-42,12,2.39,3.12,.73
2015-11-01,Browns,Cardinals,3,5:44,1,15,CLE 29,20-24,12,0.87,1.6,.73
2015-10-11,Buccaneers,Jaguars,3,9:04,1,15,TAM 28,20-17,12,0.81,1.54,.73
2015-10-29,Patriots,Dolphins,3,10:41,1,15,NWE 26,19-7,12,0.67,1.41,.74
2015-11-01,Saints,Giants,4,4:58,1,15,NOR 26,42-49,12,0.67,1.41,.74
2016-10-23,Redskins,Lions,4,3:08,1,15,WAS 44,10-13,12,1.86,2.59,.73
2016-09-18,Raiders,Falcons,3,12:49,1,15,50,7-13,12,2.26,2.99,.73
2017-01-01,Bears,Vikings,3,12:17,1,15,MIN 41,10-24,12,2.85,3.58,.73
2015-11-15,Cardinals,Seahawks,2,10:45,1,15,CRD 45,5-0,11,1.93,2.52,.59
2016-09-12,Redskins,Steelers,3,4:56,1,15,PIT 41,6-24,11,2.85,3.45,.60
2016-09-25,Cardinals,Bills,2,6:05,1,15,CRD 39,0-17,11,1.53,2.13,.60
2016-11-27,Jaguars,Bills,1,4:39,1,15,JAX 29,7-0,11,0.87,1.47,.60
2014-10-12,Chargers,Raiders,1,12:20,1,15,50,0-7,10,2.26,2.72,.46
2014-11-16,Seahawks,Chiefs,2,5:31,1,15,SEA 43,7-14,10,1.8,2.26,.46
2014-12-14,Colts,Texans,1,2:47,1,15,CLT 17,0-7,10,-0.12,0.54,.66
2014-09-28,Chargers,Jaguars,3,9:18,1,15,JAX 45,24-14,10,2.59,3.05,.46
2014-09-07,Saints,Falcons,4,2:43,1,15,NOR 24,27-31,10,0.54,1,.46
2014-12-28,Vikings,Bears,2,5:16,1,15,MIN 15,3-0,10,-0.31,0.41,.72
2014-11-23,Rams,Chargers,1,6:53,1,15,50,0-3,10,2.26,2.72,.46
2014-09-28,Panthers,Ravens,2,10:53,1,15,RAV 41,0-7,10,2.85,3.31,.46
2015-09-27,Dolphins,Bills,4,3:49,1,15,MIA 43,14-41,10,1.8,2.26,.46
2015-12-20,Steelers,Broncos,1,4:41,1,15,PIT 15,7-7,10,-0.31,0.41,.72
2016-09-11,Giants,Cowboys,4,10:12,1,15,NYG 41,13-19,10,1.66,2.13,.47
2016-10-16,Browns,Titans,2,2:58,1,15,CLE 17,6-14,10,-0.12,0.54,.66
2016-11-13,Panthers,Chiefs,3,8:37,1,15,CAR 15,17-3,10,-0.31,0.41,.72
2017-01-01,Raiders,Broncos,4,8:33,1,15,RAI 15,6-24,10,-0.31,0.41,.72
2014-11-23,Colts,Jaguars,1,14:52,1,15,CLT 32,0-0,9,1.07,1.4,.33
2014-11-30,Browns,Bills,4,13:41,1,15,CLE 15,3-17,9,-0.31,0.27,.58
2016-10-16,Bengals,Patriots,4,6:04,1,15,CIN 20,17-28,9,0.28,0.6,.32
2016-11-20,Cardinals,Vikings,1,15:00,1,15,CRD 20,0-0,9,0.28,0.6,.32
2016-11-27,Browns,Giants,3,11:16,1,15,CLE 43,6-14,9,1.8,2.12,.32
2016-12-15,Seahawks,Rams,1,13:25,1,15,SEA 32,0-0,9,1.07,1.4,.33
2016-12-24,Seahawks,Cardinals,4,11:36,1,15,SEA 30,10-21,9,0.94,1.26,.32
2014-11-24,Jets,Bills,2,7:37,1,15,BUF 39,3-7,8,2.98,3.18,.20
2014-09-28,Jets,Lions,4,8:20,1,15,NYJ 31,10-24,8,1,1.2,.20
2014-09-28,49ers,Eagles,2,2:08,1,15,PHI 45,10-21,8,2.59,2.78,.19
2015-12-06,Chargers,Broncos,1,10:34,1,15,SDG 25,0-7,8,0.61,0.8,.19
2015-11-01,Saints,Giants,2,5:56,1,15,NYG 42,21-14,8,2.79,2.98,.19
2016-01-03,Texans,Jaguars,4,6:31,1,15,HTX 46,20-6,8,1.99,2.19,.20
2015-12-21,Saints,Lions,1,3:08,1,15,DET 48,0-7,8,2.39,2.58,.19
2016-10-02,Texans,Titans,4,14:10,1,15,HTX 18,27-20,8,0,0.34,.34
2016-12-04,Eagles,Bengals,1,7:30,1,15,PHI 43,0-3,8,1.8,1.99,.19
2016-12-04,Falcons,Chiefs,2,7:05,1,15,ATL 20,13-13,8,0.28,0.47,.19
2014-12-21,Patriots,Jets,4,4:03,1,15,NWE 47,17-16,7,2.06,2.12,.06
2014-11-02,Eagles,Texans,3,10:49,1,15,PHI 15,17-14,7,-0.31,0,.31
2014-11-03,Colts,Giants,3,8:29,1,15,CLT 37,23-10,7,1.4,1.46,.06
