2016-10-23,Bengals,Browns,3,9:59,2,9,CIN 26,27-17,74,0.2,7,6.80
2014-12-14,Buccaneers,Panthers,1,7:41,2,9,TAM 21,0-3,63,-0.13,4.51,4.64
2017-01-01,Vikings,Bears,4,6:31,2,9,MIN 27,38-10,36,0.27,3.12,2.85
2015-10-12,Steelers,Chargers,2,2:00,2,9,PIT 27,3-7,32,0.27,2.85,2.58
2014-12-28,49ers,Cardinals,3,5:34,2,9,SFO 19,13-17,30,-0.32,2.19,2.51
2014-10-26,Saints,Packers,3,14:10,2,9,NOR 21,16-16,28,-0.13,2.19,2.32
2016-12-04,Broncos,Jaguars,2,9:34,2,9,DEN 46,0-3,24,1.52,3.58,2.06
2015-10-25,Buccaneers,Redskins,1,12:32,2,9,TAM 37,0-0,23,0.93,2.92,1.99
2014-12-11,Cardinals,Rams,4,12:52,2,9,CRD 46,9-3,21,1.52,3.38,1.86
2014-12-21,Packers,Buccaneers,1,8:08,2,9,GNB 26,0-0,20,0.2,1.99,1.79
2014-12-01,Jets,Dolphins,2,6:13,2,9,NYJ 33,10-0,20,0.66,2.46,1.80
2016-10-30,Chargers,Broncos,4,11:53,2,9,SDG 26,13-24,20,0.2,1.99,1.79
2014-10-19,Cowboys,Giants,1,10:29,2,9,DAL 25,0-0,17,0.13,1.73,1.60
2014-10-23,Chargers,Broncos,4,12:15,2,9,SDG 40,14-35,17,1.12,3.05,1.93
2014-12-14,Seahawks,49ers,3,5:52,2,9,SFO 39,3-7,15,2.51,3.97,1.46
2014-11-23,Eagles,Titans,1,13:25,2,9,50,7-0,15,1.78,3.25,1.47
2016-09-15,Bills,Jets,2,10:33,2,9,BUF 26,7-13,15,0.2,1.66,1.46
2014-09-28,Bills,Texans,2,8:00,2,9,HTX 35,3-0,14,2.77,4.17,1.40
2014-12-14,Bengals,Browns,4,5:23,2,9,CIN 48,23-0,13,1.65,2.98,1.33
2014-09-11,Ravens,Steelers,2,11:24,2,9,PIT 35,7-0,13,2.77,4.11,1.34
2014-10-19,Seahawks,Rams,1,12:36,2,9,SEA 27,0-0,13,0.27,1.6,1.33
2014-09-08,Cardinals,Chargers,2,15:00,2,9,CRD 35,0-0,13,0.79,2.13,1.34
2016-11-06,Cowboys,Browns,3,6:32,2,9,DAL 37,28-10,13,0.93,2.26,1.33
2016-12-24,Redskins,Bears,1,14:19,2,9,WAS 26,0-0,13,0.2,1.53,1.33
2014-09-11,Steelers,Ravens,2,15:00,2,9,PIT 21,0-7,12,-0.13,0.14,.27
2015-11-01,Bengals,Steelers,1,5:56,2,9,CIN 34,0-7,12,0.73,1.99,1.26
2015-11-22,Panthers,Redskins,3,11:38,2,9,CAR 28,38-14,12,0.33,1.6,1.27
2016-11-13,Chiefs,Panthers,1,9:13,2,9,KAN 37,0-3,12,0.93,2.19,1.26
2016-12-24,Raiders,Colts,2,7:35,2,9,CLT 41,7-7,12,2.38,3.64,1.26
2014-10-05,Buccaneers,Saints,3,2:52,2,9,TAM 39,24-20,11,1.06,2.26,1.20
2014-12-01,Jets,Dolphins,2,4:59,2,9,MIA 46,10-0,11,2.05,3.25,1.20
2014-09-07,Bills,Bears,3,3:42,2,9,BUF 19,17-17,11,-0.32,0.94,1.26
2014-12-07,Raiders,49ers,1,14:21,2,9,50,0-0,11,1.78,2.98,1.20
2015-11-30,Ravens,Browns,3,11:40,2,9,RAV 21,17-20,11,-0.13,1.07,1.20
2016-01-03,Packers,Vikings,1,10:12,2,9,GNB 21,0-3,11,-0.13,1.07,1.20
2015-09-13,Chiefs,Texans,4,14:09,2,9,KAN 30,27-9,11,0.46,1.66,1.20
2015-09-28,Packers,Chiefs,2,3:23,2,9,GNB 33,17-7,11,0.66,1.86,1.20
2016-01-03,Broncos,Chargers,1,9:28,2,9,DEN 34,7-3,11,0.73,1.93,1.20
2016-10-30,Packers,Falcons,4,11:47,2,9,GNB 15,24-26,11,-0.64,0.67,1.31
2016-11-20,Giants,Bears,1,6:43,2,9,CHI 36,0-6,11,2.71,3.91,1.20
2014-09-28,Vikings,Falcons,3,13:07,2,9,ATL 42,24-14,10,2.31,3.45,1.14
2014-09-28,Packers,Bears,4,10:01,2,9,GNB 42,38-17,10,1.26,2.39,1.13
2014-12-14,Jets,Titans,4,6:15,2,9,NYJ 35,10-11,10,0.79,1.93,1.14
2014-10-12,Lions,Vikings,1,14:00,2,9,DET 33,0-0,10,0.66,1.8,1.14
2014-10-19,Cardinals,Raiders,3,14:22,2,9,CRD 21,14-10,10,-0.13,1,1.13
2016-01-03,Vikings,Packers,1,14:24,2,9,MIN 21,0-0,10,-0.13,1,1.13
2016-01-03,Bengals,Ravens,1,8:20,2,9,CIN 18,0-0,10,-0.42,0.81,1.23
2015-12-20,Cardinals,Eagles,4,2:00,2,9,PHI 36,40-17,10,2.71,3.84,1.13
2016-09-18,Patriots,Dolphins,3,5:16,2,9,NWE 26,31-10,10,0.2,1.33,1.13
2016-09-25,Bengals,Broncos,3,7:25,2,9,CIN 25,14-16,10,0.13,1.27,1.14
2016-12-11,Packers,Seahawks,1,4:24,2,9,SEA 49,7-3,10,1.85,2.98,1.13
2017-01-01,Jets,Bills,1,5:40,2,9,BUF 46,0-0,10,2.05,3.18,1.13
2014-09-21,Ravens,Browns,1,13:21,2,9,RAV 38,0-0,9,0.99,2.06,1.07
2014-10-12,Packers,Dolphins,3,10:33,2,9,GNB 31,10-10,9,0.53,1.6,1.07
2016-09-18,Giants,Saints,2,6:30,2,9,NYG 21,0-0,9,-0.13,0.94,1.07
2016-10-03,Giants,Vikings,1,13:40,2,9,MIN 47,0-0,9,1.98,3.05,1.07
2016-12-24,Dolphins,Bills,3,14:20,2,9,MIA 31,14-7,9,0.53,1.6,1.07
2017-01-01,Buccaneers,Panthers,2,4:11,2,9,TAM 47,3-7,9,1.59,2.65,1.06
2014-09-28,Jaguars,Chargers,4,11:02,2,9,SDG 43,14-30,8,2.25,2.61,.36
2014-12-14,Chiefs,Raiders,4,15:00,2,9,KAN 49,31-6,8,1.72,2.08,.36
2014-11-02,Rams,49ers,4,3:30,2,9,RAM 40,13-10,8,1.12,1.49,.37
2014-11-16,Chiefs,Seahawks,4,3:23,2,9,KAN 37,24-20,8,0.93,1.29,.36
2014-10-12,Giants,Eagles,1,9:55,2,9,NYG 34,0-3,8,0.73,1.09,.36
2014-12-14,49ers,Seahawks,4,9:17,2,9,SFO 41,7-17,8,1.19,1.55,.36
2014-10-19,Rams,Seahawks,4,2:00,2,9,RAM 37,28-26,8,0.93,1.29,.36
2014-12-14,Jaguars,Ravens,1,5:35,2,9,JAX 46,3-7,8,1.52,1.88,.36
2014-12-28,Buccaneers,Saints,4,11:49,2,9,TAM 43,20-14,8,1.32,1.69,.37
2014-12-28,Raiders,Broncos,2,3:29,2,9,RAI 27,7-17,8,0.27,0.63,.36
2014-10-05,Browns,Titans,4,9:40,2,9,50,15-28,8,1.78,2.15,.37
2015-12-20,Chargers,Dolphins,4,12:53,2,9,MIA 45,23-7,8,2.11,2.48,.37
2015-10-18,Steelers,Cardinals,1,6:42,2,9,PIT 18,0-7,8,-0.42,-0.12,.30
2015-11-22,Panthers,Redskins,1,5:08,2,9,CAR 48,7-7,8,1.65,2.02,.37
2015-12-19,Jets,Cowboys,2,12:41,2,9,NYJ 21,6-3,8,-0.13,0.23,.36
