2015-11-15,Bears,Rams,2,5:15,2,7,CHI 17,23-10,83,-0.37,7,7.37
2015-12-13,Panthers,Falcons,1,7:01,2,7,CAR 26,13-0,74,0.34,7,6.66
2014-10-02,Packers,Vikings,1,5:29,2,7,GNB 34,13-0,66,0.87,7,6.13
2014-10-12,Ravens,Buccaneers,2,14:09,2,7,RAV 44,34-0,56,1.53,7,5.47
2015-11-01,Saints,Giants,2,11:15,2,7,NOR 47,20-14,53,1.72,7,5.28
2016-10-30,Patriots,Bills,2,4:27,2,7,NWE 47,20-10,53,1.72,7,5.28
2014-10-16,Patriots,Jets,1,13:40,2,7,NYJ 49,6-0,49,1.99,7,5.01
2016-11-06,49ers,Saints,2,6:07,2,7,NOR 47,9-21,47,2.12,7,4.88
2014-09-14,Bengals,Falcons,2,5:46,2,7,CIN 24,3-3,46,0.21,3.58,3.37
2014-09-22,Jets,Bears,2,13:16,2,7,NYJ 27,3-17,43,0.4,3.58,3.18
2015-12-10,Vikings,Cardinals,2,11:47,2,7,MIN 24,7-10,41,0.21,3.25,3.04
2014-12-28,Jets,Dolphins,2,8:12,2,7,NYJ 48,7-10,40,1.79,4.78,2.99
2016-10-16,Chiefs,Raiders,2,2:44,2,7,KAN 35,13-7,38,0.93,3.78,2.85
2016-12-18,Bears,Packers,2,3:41,2,7,CHI 48,3-7,34,1.79,4.37,2.58
2016-12-24,Cardinals,Seahawks,2,11:54,2,7,CRD 39,7-0,34,1.2,3.78,2.58
2014-12-21,Dolphins,Vikings,2,9:15,2,7,MIA 22,0-14,33,0.07,2.59,2.52
2015-10-18,Texans,Jaguars,1,14:39,2,7,HTX 23,0-0,31,0.14,2.52,2.38
2014-11-30,Browns,Bills,2,10:20,2,7,CLE 31,3-0,30,0.67,2.98,2.31
2014-11-30,Patriots,Packers,2,15:00,2,7,NWE 30,0-13,29,0.6,2.85,2.25
2015-11-29,Jaguars,Chargers,1,7:49,2,7,JAX 17,3-0,29,-0.37,1.99,2.36
2015-11-22,Falcons,Colts,2,12:27,2,7,CLT 44,7-0,29,2.32,4.58,2.26
2015-09-27,Titans,Colts,1,5:06,2,7,OTI 23,0-7,29,0.14,2.39,2.25
2014-12-28,Panthers,Falcons,2,7:29,2,7,CAR 18,10-3,28,-0.28,1.99,2.27
2014-12-14,Bills,Packers,2,13:39,2,7,BUF 23,7-10,28,0.14,2.32,2.18
2015-09-13,Bengals,Raiders,2,11:46,2,7,CIN 21,7-0,28,0.01,2.19,2.18
2015-10-04,Browns,Chargers,1,9:57,2,7,CLE 21,0-0,27,0.01,2.13,2.12
2016-01-03,Falcons,Saints,2,3:00,2,7,ATL 20,10-14,27,-0.06,2.06,2.12
2015-12-06,Steelers,Colts,2,6:56,2,7,PIT 33,6-10,26,0.8,2.85,2.05
2016-11-03,Falcons,Buccaneers,2,6:41,2,7,ATL 48,13-14,26,1.79,3.84,2.05
2016-12-18,Bengals,Steelers,2,11:16,2,7,CIN 44,10-3,25,1.53,3.51,1.98
2014-09-28,Colts,Titans,2,5:40,2,7,CLT 26,17-3,24,0.34,2.26,1.92
2015-10-04,Bears,Raiders,1,14:27,2,7,CHI 23,0-0,24,0.14,2.06,1.92
2015-11-15,Redskins,Saints,2,6:30,2,7,WAS 19,21-14,24,-0.18,1.8,1.98
2016-09-25,Giants,Redskins,1,6:57,2,7,WAS 47,7-3,24,2.12,4.04,1.92
2015-11-29,Vikings,Falcons,1,2:04,2,7,MIN 34,7-0,23,0.87,2.72,1.85
2015-09-14,Falcons,Eagles,1,8:43,2,7,PHI 39,3-0,22,2.65,4.44,1.79
2016-10-09,Colts,Bears,1,2:06,2,7,CLT 38,3-3,22,1.13,2.92,1.79
2016-10-23,Bengals,Browns,2,4:38,2,7,CIN 35,7-10,21,0.93,2.65,1.72
2014-11-16,Giants,49ers,1,8:31,2,7,NYG 40,0-0,20,1.26,2.92,1.66
2014-10-27,Redskins,Cowboys,1,11:49,2,7,DAL 45,0-0,20,2.25,3.91,1.66
2014-11-16,Eagles,Packers,1,12:21,2,7,PHI 40,0-3,20,1.26,2.92,1.66
