2014-11-09,Packers,Bears,2,15:00,3,11,GNB 27,20-0,73,-0.56,7,7.56
2016-10-02,Bears,Lions,3,5:42,3,11,CHI 24,7-6,64,-0.76,4.78,5.54
2016-12-15,Seahawks,Rams,4,14:56,3,11,SEA 43,23-3,57,0.5,7,6.50
2015-10-04,Bengals,Chiefs,3,8:53,3,11,CIN 45,20-12,55,0.63,7,6.37
2016-09-25,Broncos,Bengals,4,4:32,3,11,DEN 45,28-17,55,0.63,7,6.37
2014-09-08,Lions,Giants,3,8:24,3,11,DET 24,17-7,44,-0.76,3.45,4.21
2016-11-20,Redskins,Packers,3,2:07,3,11,GNB 44,22-10,44,1.36,7,5.64
2015-09-20,Cowboys,Eagles,4,4:20,3,11,PHI 42,19-3,42,1.49,7,5.51
2014-12-21,Buccaneers,Packers,2,3:01,3,11,TAM 30,0-10,40,-0.36,3.58,3.94
2015-12-27,Saints,Jaguars,4,6:12,3,11,NOR 41,38-19,36,0.37,4.04,3.67
2016-01-03,Seahawks,Cardinals,2,11:07,3,11,SEA 19,10-6,36,-1.14,2.59,3.73
2015-11-15,Dolphins,Eagles,1,13:32,3,11,MIA 31,0-0,35,-0.29,3.31,3.60
2016-11-20,Seahawks,Eagles,2,8:30,3,11,PHI 35,12-7,35,1.95,7,5.05
2016-11-20,Seahawks,Eagles,3,9:15,3,11,SEA 40,16-7,34,0.3,3.84,3.54
2016-12-18,Browns,Bills,3,11:01,3,11,CLE 32,3-17,33,-0.23,3.25,3.48
2014-11-23,Falcons,Browns,2,8:10,3,11,ATL 19,7-13,32,-1.14,2.32,3.46
2014-11-30,Bengals,Buccaneers,4,2:37,3,11,CIN 19,14-13,30,-1.14,2.19,3.33
2014-09-28,Ravens,Panthers,2,2:21,3,11,CAR 50,14-7,29,0.96,4.17,3.21
2015-11-05,Bengals,Browns,1,10:20,3,11,CIN 49,0-0,29,0.89,4.11,3.22
2014-10-26,Colts,Steelers,2,3:48,3,11,CLT 19,10-35,27,-1.14,1.99,3.13
2014-09-14,Giants,Cardinals,2,3:18,3,11,NYG 48,0-10,27,0.83,3.91,3.08
2016-12-22,Giants,Eagles,3,11:41,3,11,NYG 32,13-21,27,-0.23,2.85,3.08
2014-09-07,Eagles,Jaguars,1,12:24,3,11,PHI 26,0-0,26,-0.62,2.39,3.01
2014-12-28,Colts,Titans,1,4:42,3,11,OTI 45,0-0,26,1.29,4.31,3.02
2015-12-06,Titans,Jaguars,1,10:11,3,11,OTI 19,0-0,26,-1.14,1.93,3.07
2014-09-21,Saints,Vikings,4,2:29,3,11,MIN 47,20-9,23,1.16,3.97,2.81
2014-10-12,Bills,Patriots,3,8:44,3,11,NWE 49,7-20,22,1.03,3.78,2.75
2015-09-20,Saints,Buccaneers,1,13:37,3,11,NOR 19,0-0,22,-1.14,1.66,2.80
2015-12-27,Colts,Dolphins,1,6:53,3,11,CLT 41,2-0,22,0.37,3.12,2.75
2016-12-17,Jets,Dolphins,1,14:11,3,11,NYJ 24,0-0,22,-0.76,1.99,2.75
2014-09-21,Eagles,Redskins,2,7:39,3,11,WAS 41,7-17,21,1.55,4.24,2.69
2014-09-15,Eagles,Colts,3,5:15,3,11,PHI 43,6-20,21,0.5,3.18,2.68
2015-10-11,Lions,Cardinals,3,3:38,3,11,CRD 49,7-35,21,1.03,3.71,2.68
2016-01-03,Saints,Falcons,4,9:49,3,11,NOR 44,17-17,21,0.56,3.25,2.69
2016-12-04,Bengals,Eagles,2,8:02,3,11,CIN 40,10-0,21,0.3,3.97,3.67
2016-12-04,Chiefs,Falcons,2,11:52,3,11,KAN 20,6-13,21,-1.02,1.66,2.68
2014-10-12,Chargers,Raiders,3,14:27,3,11,SDG 19,14-14,20,-1.14,1.53,2.67
2015-10-04,Bengals,Chiefs,3,3:39,3,11,CIN 19,21-15,20,-1.14,1.53,2.67
2016-09-25,Lions,Packers,2,6:32,3,11,GNB 44,3-24,20,1.36,3.97,2.61
2016-12-11,Jets,49ers,3,2:25,3,11,NYJ 20,6-17,20,-1.02,1.6,2.62
2014-12-11,Rams,Cardinals,1,10:35,3,11,RAM 44,0-0,19,0.56,3.12,2.56
2015-10-04,Saints,Cowboys,1,8:26,3,11,NOR 30,0-3,19,-0.36,2.19,2.55
2016-10-09,Colts,Bears,3,8:04,3,11,CHI 44,16-13,19,1.36,3.91,2.55
2014-11-02,Chargers,Dolphins,3,10:17,3,11,SDG 15,0-27,18,-1.47,1.14,2.61
2015-09-13,Broncos,Ravens,2,5:24,3,11,DEN 19,6-3,18,-1.14,1.4,2.54
2015-09-27,Dolphins,Bills,4,14:21,3,11,MIA 19,8-34,18,-1.14,1.4,2.54
2014-11-17,Steelers,Titans,2,4:27,3,11,PIT 25,13-10,17,-0.69,1.73,2.42
2015-09-20,Seahawks,Packers,3,13:45,3,11,SEA 43,3-13,17,0.5,2.92,2.42
2016-10-30,Browns,Jets,1,4:58,3,11,NYJ 48,7-0,17,1.09,3.51,2.42
2016-11-27,Dolphins,49ers,2,15:00,3,11,SFO 43,0-7,17,1.42,3.84,2.42
2016-12-04,Patriots,Rams,2,9:34,3,11,NWE 21,14-0,17,-0.96,1.47,2.43
